"Player_name","Team","Level","PA","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","TTO","ID","Diff"
"松原　聖弥","G","Farm",482,0.31,0.334,0,10.6,8.1,0.35,18.7,"松原　聖弥 G",482
"松尾　大河","DB","Farm",353,0.185,0.246,0.57,26.9,10.5,0.262,38,"松尾　大河 DB",353
"松本　京志郎","E","Farm",169,0.164,0.181,0,16,4.7,0.197,20.7,"松本　京志郎 E",169
"松本　啓二朗","DB","Farm",186,0.302,0.366,2.69,11.8,11.8,0.324,26.3,"松本　啓二朗 DB",172
"松本　剛","F","Farm",139,0.353,0.422,2.88,9.3,13,0.373,25.2,"松本　剛 F",-448
"松本　直樹","S","Farm",141,0.24,0.273,0.71,13.5,6.4,0.275,20.6,"松本　直樹 S",136
"松本　哲也","G","Farm",272,0.288,0.3,0,13.6,6.6,0.34,20.2,"松本　哲也 G",272
"上本　崇司","C","Farm",123,0.248,0.323,0,11.4,13.8,0.286,25.2,"上本　崇司 C",100
"城所　龍磨","H","Farm",264,0.25,0.285,1.14,17.8,8,0.301,26.9,"城所　龍磨 H",235
"植田　海","T","Farm",399,0.211,0.257,0,18.8,10.5,0.271,29.3,"植田　海 T",134
"新井　良太","T","Farm",243,0.288,0.367,3.7,14.8,11.1,0.308,29.6,"新井　良太 T",226
"森越　祐人","T","Farm",410,0.226,0.29,1.22,17.4,11.7,0.269,30.3,"森越　祐人 T",344
"森山　恵佑","F","Farm",762,0.24,0.317,3.54,25.8,7.1,0.295,36.5,"森山　恵佑 F",750
"森本　龍弥","F","Farm",526,0.192,0.268,3.04,32.3,8.4,0.258,43.7,"森本　龍弥 F",516
"森野　将彦","D","Farm",122,0.188,0.212,0.82,18,6.6,0.22,25.4,"森野　将彦 D",74
"真砂　勇介","H","Farm",606,0.242,0.314,2.81,25.9,8.4,0.311,37.1,"真砂　勇介 H",593
"水口　大地","L","Farm",403,0.291,0.301,0.49,12.1,5.7,0.328,18.3,"水口　大地 L",349
"杉山　翔大","D","Farm",220,0.223,0.28,0,10,11.8,0.251,21.8,"杉山　翔大 D",137
"杉谷　拳士","F","Farm",174,0.232,0.285,1.72,20.1,6.9,0.282,28.7,"杉谷　拳士 F",-41
"杉本　裕太郎","Bs","Farm",452,0.258,0.33,2.44,23.4,8.4,0.321,34.3,"杉本　裕太郎 Bs",421
"菅野　剛士","M","Farm",292,0.27,0.311,1.03,10.3,10.6,0.293,21.9,"菅野　剛士 M",131
"星野　雄大","S","Farm",112,0.221,0.276,0,18.8,14.3,0.288,33.1,"星野　雄大 S",112
"清宮　幸太郎","F","Farm",182,0.244,0.392,9.34,25.8,10.4,0.224,45.6,"清宮　幸太郎 F",2
"清田　育宏","M","Farm",156,0.307,0.403,4.49,19.3,14.1,0.348,37.8,"清田　育宏 M",-410
"聖澤　諒","E","Farm",210,0.25,0.276,0,16.2,7.6,0.301,23.8,"聖澤　諒 E",-111
"西浦　直亨","S","Farm",114,0.255,0.324,2.63,13.1,11.4,0.268,27.2,"西浦　直亨 S",-607
"西浦　颯大","Bs","Farm",146,0.2,0.254,0.68,26.7,9.6,0.278,37,"西浦　颯大 Bs",139
"西岡　剛","T","Farm",168,0.317,0.36,0.6,13.1,12.5,0.366,26.2,"西岡　剛 T",25
"西巻　賢二","E","Farm",386,0.253,0.313,1.3,9.6,7.8,0.27,18.7,"西巻　賢二 E",304
"西森　将司","DB","Farm",208,0.32,0.334,0,12,9.6,0.365,21.6,"西森　将司 DB",202
"西川　愛也","L","Farm",228,0.226,0.244,0,22.4,5.3,0.296,27.7,"西川　愛也 L",228
"西村　凌","Bs","Farm",243,0.308,0.369,1.65,20.2,5.3,0.38,27.2,"西村　凌 Bs",150
"西田　直斗","T","Farm",310,0.198,0.253,0.97,24.6,8.7,0.259,34.2,"西田　直斗 T",310
"西田　哲朗","E","Farm",313,0.28,0.361,2.24,16.6,13.4,0.325,32.3,"西田　哲朗 E",289
"西田　哲朗","H","Farm",150,0.293,0.357,2,22,8,0.367,32,"西田　哲朗 H",37
"西田　明央","S","Farm",182,0.218,0.281,1.1,17,6.6,0.256,24.7,"西田　明央 S",89
"西野　真弘","Bs","Farm",151,0.24,0.309,0,7.9,11.9,0.266,19.9,"西野　真弘 Bs",-387
"青山　誠","G","Farm",164,0.219,0.316,2.44,20.1,10.4,0.26,32.9,"青山　誠 G",164
"青木　陸","C","Farm",145,0.189,0.202,0,20,3.5,0.238,23.5,"青木　陸 C",145
"青柳　昴樹","DB","Farm",375,0.199,0.234,0.53,32,6.7,0.3,39.2,"青柳　昴樹 DB",375
"斉藤　彰吾","L","Farm",400,0.249,0.333,1.25,16.5,13.8,0.297,31.5,"斉藤　彰吾 L",288
"石井　一成","F","Farm",158,0.244,0.325,0,22.8,16.5,0.34,39.3,"石井　一成 F",-366
"石岡　諒太","D","Farm",399,0.246,0.268,1,19.3,5.8,0.299,26.1,"石岡　諒太 D",395
"石垣　雅海","D","Farm",561,0.188,0.227,0.71,22.1,4.8,0.235,27.6,"石垣　雅海 D",558
"石川　駿","D","Farm",388,0.286,0.322,1.03,17,4.4,0.336,22.4,"石川　駿 D",370
"石川　慎吾","G","Farm",329,0.338,0.397,3.95,14,10.3,0.369,28.2,"石川　慎吾 G",50
"石川　雄洋","DB","Farm",170,0.25,0.301,0.59,21.2,10,0.321,31.7,"石川　雄洋 DB",-113
"石川　亮","F","Farm",201,0.219,0.258,1.99,18.9,4.5,0.252,25.4,"石川　亮 F",144
"赤坂　和幸","D","Farm",131,0.223,0.268,3.05,13.7,6.1,0.232,22.9,"赤坂　和幸 D",131
"赤田　龍一郎","D","Farm",116,0.217,0.27,0.86,16.4,6,0.256,23.3,"赤田　龍一郎 D",116
"川瀬　晃","H","Farm",521,0.275,0.288,0,12.7,8.4,0.318,21.1,"川瀬　晃 H",485
"川端　崇義","Bs","Farm",152,0.233,0.254,0,10.5,9.2,0.261,19.7,"川端　崇義 Bs",124
"船越　涼太","C","Farm",277,0.234,0.277,0.36,17.4,9,0.286,26.7,"船越　涼太 C",277
"曽根　海成","H","Farm",451,0.225,0.26,0.22,19.8,6.2,0.285,26.2,"曽根　海成 H",448
