"Player_name","Team","Level","N","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","ID","Diff"
"ゴンザレス","L","Top",0,NA,NA,NA,NA,NA,NA,"ゴンザレス L",NA
"ゴンザレス","M","Farm",0,NA,NA,NA,NA,NA,NA,"ゴンザレス M",NA
"ゴンザレス","M","Top",0,NA,NA,NA,NA,NA,NA,"ゴンザレス M",NA
"コンラッド","T","Farm",200,0.222,0.301,3,27.5,9,0.287,"コンラッド T",NA
"コンラッド","T","Top",69,0.175,0.275,0,33.3,15.9,0.294,"コンラッド T",NA
"ザガースキー","C","Farm",0,NA,NA,NA,NA,NA,NA,"ザガースキー C",NA
"ザガースキー","C","Top",0,NA,NA,NA,NA,NA,NA,"ザガースキー C",NA
"ザガースキー","DB","Farm",0,NA,NA,NA,NA,NA,NA,"ザガースキー DB",0
"ザガースキー","DB","Top",0,NA,NA,NA,NA,NA,NA,"ザガースキー DB",0
"サターホワイト","T","Farm",0,NA,NA,NA,NA,NA,NA,"サターホワイト T",0
"サターホワイト","T","Top",0,NA,NA,NA,NA,NA,NA,"サターホワイト T",0
"サファテ","C","Farm",0,NA,NA,NA,NA,NA,NA,"サファテ C",NA
"サファテ","C","Top",1,0,0,0,100,0,NA,"サファテ C",NA
"サファテ","H","Top",1,0,0,0,100,0,NA,"サファテ H",-1
"サファテ","L","Top",0,NA,NA,NA,NA,NA,NA,"サファテ L",NA
"サブロー","M","Farm",108,0.245,0.316,3.7,24.1,8.3,0.289,"サブロー M",102
"サブロー","M","Top",1081,0.241,0.311,1.57,20.7,12.8,0.297,"サブロー M",102
"サラサー","DB","Farm",233,0.265,0.345,3,18.9,8.6,0.302,"サラサー DB",NA
"サラサー","DB","Top",30,0.222,0.258,0,16.7,10,0.273,"サラサー DB",NA
"ザラテ","T","Farm",1,0,0,0,100,0,NA,"ザラテ T",NA
"ザラテ","T","Top",0,NA,NA,NA,NA,NA,NA,"ザラテ T",NA
"サンチェス","E","Farm",128,0.299,0.399,3.91,10.9,14.8,0.3,"サンチェス E",NA
"サンチェス","E","Top",232,0.226,0.321,3.02,17.2,11.6,0.247,"サンチェス E",NA
"サンティアゴ","T","Farm",2,0.5,0.432,0,0,0,0.5,"サンティアゴ T",NA
"サンティアゴ","T","Top",5,0,0,0,40,0,0,"サンティアゴ T",NA
"サントス","M","Farm",17,0.188,0.221,0,5.9,5.9,0.2,"サントス M",-176
"サントス","M","Top",193,0.25,0.281,1.55,23.8,3.6,0.321,"サントス M",-176
"シアーホルツ","C","Farm",85,0.368,0.443,4.71,17.6,8.2,0.421,"シアーホルツ C",NA
"シアーホルツ","C","Top",248,0.25,0.32,4.03,27,5.7,0.31,"シアーホルツ C",NA
"ジェフン","S","Farm",201,0.293,0.365,3.48,13.4,8,0.309,"ジェフン S",159
"ジェフン","S","Top",42,0.225,0.241,0,28.6,4.8,0.321,"ジェフン S",159
"ジェンセン","H","Farm",193,0.272,0.398,6.22,30.1,11.4,0.337,"ジェンセン H",179
"ジェンセン","H","Top",14,0.083,0.246,7.14,64.3,14.3,0,"ジェンセン H",179
"ジオ","DB","Farm",0,NA,NA,NA,NA,NA,NA,"ジオ DB",NA
"ジオ","DB","Top",11,0.273,0.236,0,36.4,0,0.429,"ジオ DB",NA
"シコースキー","L","Farm",0,NA,NA,NA,NA,NA,NA,"シコースキー L",NA
"ジャクソン","C","Top",0,NA,NA,NA,NA,NA,NA,"ジャクソン C",0
"ジュリアス","S","Farm",0,NA,NA,NA,NA,NA,NA,"ジュリアス S",0
"シュリッター","L","Top",0,NA,NA,NA,NA,NA,NA,"シュリッター L",0
"シュルツ","Bs","Farm",1,0,0,0,0,0,0,"シュルツ Bs",NA
"シュルツ","Bs","Top",0,NA,NA,NA,NA,NA,NA,"シュルツ Bs",NA
"ジョージ","Bs","Farm",257,0.278,0.334,0.78,20.6,8.6,0.349,"ジョージ Bs",257
"ジョーダン","D","Farm",0,NA,NA,NA,NA,NA,NA,"ジョーダン D",-63
"ジョーダン","D","Top",63,0.051,0.044,0,46,0,0.1,"ジョーダン D",-63
"ショート","H","Farm",38,0.233,0.312,0,13.2,15.8,0.269,"ショート H",NA
"ジョーンズ","E","Top",1185,0.232,0.37,4.22,25.7,18.8,0.284,"ジョーンズ E",NA
"ジョンソン","C","Farm",9,0,0,0,44.4,0,0,"ジョンソン C",-81
"ジョンソン","C","Top",154,0.131,0.132,0,38.9,1.9,0.233,"ジョンソン C",-81
"シリアコ","DB","Farm",175,0.298,0.356,3.43,14.9,6.9,0.323,"シリアコ DB",147
"シリアコ","DB","Top",28,0.074,0.103,0,35.7,3.6,0.118,"シリアコ DB",147
"スアレス","H","Farm",1,0,0,0,100,0,NA,"スアレス H",1
"スアレス","H","Top",0,NA,NA,NA,NA,NA,NA,"スアレス H",1
